zzqAy,r1bqkbnr/pp3ppp/2P1p3/8/8/2P2N2/pP1P1PPP/RNBQK2R w KQkq - 0 8,c6b7 a2b1q b7a8q b1a1,2118,76,91,1006,advancedPawn advantage opening promotion short,https://lichess.org/YNK4fH5R#15,Sicilian_Defense,Sicilian_Defense_Old_Sicilian
zzqCZ,2r4k/p2Q2pp/1p6/2qp2P1/4p2P/1P2N3/PP3P2/1K5R w - - 0 33,e3f5 c5c2 b1a1 c2c1 h1c1 c8c1,1091,77,83,402,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/Jc4H14O2#65,
zzqP5,8/8/p3R3/kp4PN/n7/1K5P/P1P3r1/8 w - - 3 46,g5g6 a4c5 b3b2 c5e6,1127,254,100,12,crushing endgame fork short,https://lichess.org/Fm7Hub0G#91,
zzqZ9,5rk1/4bppp/prnp3B/7P/1p2n3/1N3N2/PPP5/2K2RR1 b - - 5 26,e7f6 f3d2 f6g5 h6g5 e4g5 g1g5,2472,102,38,21,advantage long middlegame pin,https://lichess.org/yIvw2rAQ/black#52,
zzqZp,1k3bnr/ppp4p/2n2r2/4p2Q/P7/2NP3P/1PPB1qPK/R3R3 b - - 1 18,f2d2 h5e8 c6d8 e8d8,843,87,89,250,mate mateIn2 middlegame queensideAttack short,https://lichess.org/kgRwyeSO/black#36,Scandinavian_Defense,Scandinavian_Defense_Main_Line
zzqlu,r2q1r2/2p3kp/p3B1p1/1p2Qp2/3P4/P4PPR/1P6/7K b - - 1 33,d8f6 e5c7 f8f7 e6f7,1688,74,92,462,crushing endgame short,https://lichess.org/YOQVykf3/black#66,
zzqtt,r5k1/pbp4p/3p4/1N1P4/2P2P1P/P4p2/5PrK/R4R2 w - - 3 26,h2h3 b7c8 f4f5 c8f5,1159,75,96,9334,endgame mate mateIn2 short,https://lichess.org/0kARxAem#51,
zzr49,r2q1rk1/pp3pp1/2pp3p/8/4P3/PB1PbP1b/1PP2P1P/R2QR1K1 w - - 0 17,f2e3 d8g5 g1f2 g5g2,925,75,98,492,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/VZhO9M5k#33,Italian_Game,Italian_Game_Anti-Fried_Liver_Defense
zzr4l,5r1k/2p1R3/1p6/p5p1/2QP3r/P5qP/1P3RP1/4K3 w - - 1 35,c4c2 h4h3 g2h3 g3g1 e1d2 g1f2 e7e2 f2d4,1940,212,70,8,crushing deflection endgame exposedKing pin sacrifice veryLong,https://lichess.org/BwnRj7xV#69,
zzr60,1r2r1k1/4q1p1/3R1pp1/p1N1n3/2P2Q2/1P5P/P4PP1/3R2K1 w - - 1 30,d6e6 e7c5 e6e8 b8e8,1257,75,88,1638,advantage hangingPiece middlegame short,https://lichess.org/ytwrvmEW#59,
zzrCW,rnb3k1/pp3ppp/2p5/2bPr3/2BN4/2N5/PP4PP/3R1RK1 w - - 0 17,d5c6 b8c6 c4f7 g8h8,1918,107,70,15,advantage master middlegame short,https://lichess.org/jegmC8Il#33,Queens_Gambit_Accepted,Queens_Gambit_Accepted_Central_Variation
zzrDO,4r2k/8/p2q3p/1p1b2p1/3P4/2P1B3/P3Q1PP/5RK1 w - - 2 28,e2d3 d5c4 d3d2 c4f1,1474,76,96,2360,crushing endgame short skewer,https://lichess.org/DeUmqmxX#55,
zzrFD,8/1R3nk1/6pp/4P3/p1q5/3rPQ1P/6PK/3r4 b - - 0 41,a4a3 f3f6 g7f8 e5e6 c4e6 f6e6,1876,104,64,27,crushing endgame long,https://lichess.org/cabMOHv3/black#82,
zzrJl,6k1/4P1pp/1rq1p3/pnp5/P2p1r2/1P1Q4/2P2PPP/R3R1K1 w - - 0 27,d3b5 b6b5 a4b5 c6d7,2272,75,91,782,advantage endgame short,https://lichess.org/x2ToOTnu#53,
zzrM9,1r2r1k1/pqp1ppbp/1p3npB/7n/3PN3/3B1P1R/PPPQ1P1P/R6K b - - 12 18,f6e4 d3e4 b7c8 h3h5,1808,74,92,988,advantage middlegame short,https://lichess.org/GUp7qsDl/black#36,Scandinavian_Defense,Scandinavian_Defense_Mieses-Kotroc_Variation
zzrMz,2r1k1n1/pp2p3/4bn1b/4N2q/5P1B/6Q1/PRB3P1/4K3 b - - 8 24,f6g4 c2g6 h5g6 e5g6,1438,75,99,3558,advantage fork middlegame short,https://lichess.org/uqJj1BZu/black#48,
zzrSi,8/8/p1p5/3pk1p1/1P4P1/5K2/P1P5/8 w - - 2 44,f3e3 d5d4 e3d3 e5f4 d3d4 f4g4,1482,122,43,16,crushing endgame long pawnEndgame,https://lichess.org/aB9KMTy7#87,
zzrd7,3r3r/1R6/p1k1p3/P4ppp/2PBp3/7P/4nPPN/1R5K b - - 0 29,d8d4 b1b6 c6c5 b7c7,1479,75,96,9751,endgame mate mateIn2 short,https://lichess.org/I3xD7nIP/black#58,
zzrmg,3Q4/4Npkp/1p4p1/pn6/8/4P1P1/5PKP/2q5 b - - 5 34,c1c7 d8g8 g7f6 e7d5 f6e6 d5c7,1106,74,97,4771,crushing endgame fork long,https://lichess.org/RHHrjzg4/black#68,
zzrpZ,r1bqkbnr/3p2pp/p4p2/1ppQ4/2B1P3/8/PPP2PPP/RNB1K2R b KQkq - 1 9,a8b8 d5f7,1083,76,100,213,mate mateIn1 oneMove opening,https://lichess.org/rU9B6vJq/black#18,
zzrqN,r5k1/pp3pp1/2pb1pp1/8/2PP4/2B1rP1q/PPQ4N/R4RK1 w - - 1 18,c2g2 h3g2 g1g2 e3e2 f1f2 e2f2 g2f2 d6h2,1889,74,93,454,advantage attraction exposedKing kingsideAttack middlegame veryLong,https://lichess.org/mfXcCJsi#35,Caro-Kann_Defense,Caro-Kann_Defense_Tartakower_Variation
zzrxN,r7/2p3pk/ppN2p1p/3P4/5P2/P2nq1PP/1P2b1B1/R5RK b - - 2 31,e3g3 g2e4 h7h8 g1g3,1229,238,100,11,crushing discoveredAttack middlegame short,https://lichess.org/PBwgpFKI/black#62,
zzs1o,2r2nk1/4bnp1/2p1p3/1p1p2pQ/1P1P4/q2PPNB1/4NPK1/2R5 b - - 5 35,a3d3 h5f7 g8f7 f3e5 f7f6 e5d3,2108,76,91,794,attraction crushing fork long middlegame sacrifice,https://lichess.org/1TiWfe8y/black#70,
